"","bandno","date","bodreg","site","sex","urb.score","urbanization","mass","tarsus","wing","pvol","pvol.tars","nestid","B2","H1","FWHM","S1U","bodycond","julian","year"
"95","187321055",2021-04-30,"th","Cattle Farm","Female",-2.29657,"rural",192,34.27,"123",6.76195,0.197313977239568,"44",2.06183752150687,597.833333333333,230.666666666667,0.173599617162578,-0.457095255116791,119,2021
"96","187321098",2021-04-30,"ba","Cattle Farm","Male",-2.29657,"rural",200,35.34,"125",18.0312333333333,0.510221656291266,"44",3.47290583111343,592.222222222222,166.222222222222,0.195180544308373,0.568063117978131,119,2021
"97","187321098",2021-04-30,"be","Cattle Farm","Male",-2.29657,"rural",200,35.34,"125",18.0312333333333,0.510221656291266,"44",3.37305942884886,622.875,297.875,0.181078379758035,0.568063117978131,119,2021
"98","187321098",2021-04-30,"lc","Cattle Farm","Male",-2.29657,"rural",200,35.34,"125",18.0312333333333,0.510221656291266,"44",7.05309680696082,630,293.5,0.200738663374287,0.568063117978131,119,2021
"99","187321098",2021-04-30,"rc","Cattle Farm","Male",-2.29657,"rural",200,35.34,"125",18.0312333333333,0.510221656291266,"44",5.51243585379187,624,191,0.204294142434525,0.568063117978131,119,2021
"100","187321098",2021-04-30,"rr","Cattle Farm","Male",-2.29657,"rural",200,35.34,"125",18.0312333333333,0.510221656291266,"44",2.16245995226791,631.5,197,0.0852848353387118,0.568063117978131,119,2021
"101","187321098",2021-04-30,"th","Cattle Farm","Male",-2.29657,"rural",200,35.34,"125",18.0312333333333,0.510221656291266,"44",4.73609639670363,610.4,163,0.236739063498584,0.568063117978131,119,2021
"102","187321097",2021-04-30,"ba","Cattle Farm","Male",-2.29657,"rural",198,35.47,"128",8.66224666666667,0.244213325815243,"45",5.21385025758919,570,180.2,0.253740992449134,0.709273524704396,119,2021
"103","187321097",2021-04-30,"be","Cattle Farm","Male",-2.29657,"rural",198,35.47,"128",8.66224666666667,0.244213325815243,"45",3.20346661895367,539.5,244,0.241327012195271,0.709273524704396,119,2021
"104","187321097",2021-04-30,"lc","Cattle Farm","Male",-2.29657,"rural",198,35.47,"128",8.66224666666667,0.244213325815243,"45",3.59753594558752,645.25,191.75,0.198935017607896,0.709273524704396,119,2021
"105","187321097",2021-04-30,"rc","Cattle Farm","Male",-2.29657,"rural",198,35.47,"128",8.66224666666667,0.244213325815243,"45",2.99177608740769,643.333333333333,255.666666666667,0.179398618790879,0.709273524704396,119,2021
"106","187321097",2021-04-30,"rr","Cattle Farm","Male",-2.29657,"rural",198,35.47,"128",8.66224666666667,0.244213325815243,"45",4.69834828388634,638.571428571429,204.142857142857,0.172475536712852,0.709273524704396,119,2021
"107","187321097",2021-04-30,"th","Cattle Farm","Male",-2.29657,"rural",198,35.47,"128",8.66224666666667,0.244213325815243,"45",3.2034230013534,630,215.5,0.232674577764642,0.709273524704396,119,2021
"108","187321050",2021-04-30,"ba","Cattle Farm","Female",-2.29657,"rural",200,35.77,"124",9.22724111111111,0.257960332991644,"45",2.68754728339955,627.857142857143,353.142857142857,0.199316086507573,0.998063117978131,119,2021
"109","187321050",2021-04-30,"be","Cattle Farm","Female",-2.29657,"rural",200,35.77,"124",9.22724111111111,0.257960332991644,"45",4.22164068233272,635.125,266.125,0.176549230554986,0.998063117978131,119,2021
